title,artist,year,genre
Run This Town,"Jay-Z, Rihanna & Kanye West",2009,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Let It Rock,Kevin Rudolf Featuring Lil Wayne,2009,"pop rap, wrestling"
Fire Burning,Sean Kingston,2009,"dance pop, miami hip hop, pop"
Whatcha Say,Jason Derulo,2009,"dance pop, pop"
LoveGame,Lady Gaga,2009,"art pop, dance pop, pop"
Waking Up In Vegas,Katy Perry,2009,pop
Birthday Sex,Jeremih,2009,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary"
Sober,P!nk,2009,"dance pop, pop"
Womanizer,Britney Spears,2009,"dance pop, pop"
Whatever You Like,T.I.,2009,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Obsessed,Mariah Carey,2009,"dance pop, pop, urban contemporary"
Mad,Ne-Yo,2009,"dance pop, pop, r&b, urban contemporary"
Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,2009,"neon pop punk, pop punk, post-teen pop"
Love Lockdown,Kanye West,2009,"chicago rap, hip hop, rap"
So What,P!nk,2009,"dance pop, pop"
Hotel Room Service,Pitbull,2009,"dance pop, miami hip hop, pop"
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",2009,"detroit hip hop, hip hop, rap"
If I Were A Boy,Beyonce,2009,"pop, r&b"
Turnin Me On,Keri Hilson Featuring Lil Wayne,2009,"dance pop, hip pop, r&b, urban contemporary"
I Hate This Part,The Pussycat Dolls,2009,"dance pop, girl group, pop"
Gotta Be Somebody,Nickelback,2009,"alternative metal, canadian rock, post-grunge"
Please Don't Leave Me,P!nk,2009,"dance pop, pop"
Paparazzi,Lady Gaga,2009,"art pop, dance pop, pop"
Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,2009,dance pop
Viva La Vida,Coldplay,2009,"permanent wave, pop"
Right Now (Na Na Na),Akon,2009,dance pop
Battlefield,Jordin Sparks,2009,"dance pop, pop, post-teen pop"
Sugar,Flo Rida Featuring Wynter,2009,"dance pop, miami hip hop, pop, pop rap"
Miss Independent,Ne-Yo,2009,"dance pop, pop, r&b, urban contemporary"
Fireflies,Owl City,2009,"indietronica, pop"
New Divide,Linkin Park,2009,"alternative metal, nu metal, post-grunge, rap metal, rock"
Empire State Of Mind,Jay-Z + Alicia Keys,2009,"pop rap, east coast hip hop"
No Surprise,Daughtry,2009,"alternative metal, neo mellow, pop rock, post-grunge"
She Wolf,Shakira,2009,"colombian pop, dance pop, latin pop, pop"
Break Up,Mario Featuring Gucci Mane & Sean Garrett,2009,"dance pop, r&b, southern hip hop, urban contemporary"
Sweet Dreams,Beyonce,2009,"pop, r&b"
Every Girl,Young Money,2009,"dirty south rap, pop rap, rap, southern hip hop, trap"
Fallin' For You,Colbie Caillat,2009,"dance pop, neo mellow, pop"
Untouched,The Veronicas,2009,"australian pop, candy pop, dance pop, girl group, post-teen pop"
If Today Was Your Last Day,Nickelback,2009,"alternative metal, canadian rock, post-grunge"
Throw It In The Bag,Fabolous Featuring The-Dream,2009,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
Love Drunk,Boys Like Girls,2009,"neon pop punk, pop punk"
I Love College,Asher Roth,2009,indie pop rap
If U Seek Amy,Britney Spears,2009,"dance pop, pop"
Big Green Tractor,Jason Aldean,2009,"contemporary country, country, country road, modern country rock"
White Horse,Taylor Swift,2009,pop
Disturbia,Rihanna,2009,"barbadian pop, pop, urban contemporary"
21 Guns,Green Day,2009,"modern rock, permanent wave, punk, rock"
Turn My Swag On,Soulja Boy Tell'em,2009,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Rockin' That Thang,The-Dream,2009,"dirty south rap, hip pop, r&b, southern hip hop, trap, urban contemporary"
Chicken Fried,Zac Brown Band,2009,"contemporary country, country, country road, modern country rock"
Diva,Beyonce,2009,"pop, r&b"
Replay,Iyaz,2009,"dance pop, pop rap, post-teen pop"
Then,Brad Paisley,2009,"contemporary country, country, country road"
Her Diamonds,Rob Thomas,2009,"neo mellow, pop rock, post-grunge"
How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009,"dance pop, pop, post-teen pop"
3,Britney Spears,2009,"dance pop, pop"
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
One Time,Justin Bieber,2009,"canadian pop, pop"
I Run To You,Lady Antebellum,2009,"contemporary country, country, country dawn, country pop, country road"
I Do Not Hook Up,Kelly Clarkson,2009,"dance pop, pop, talent show"
Green Light,John Legend Featuring Andre 3000,2009,"neo soul, pop, pop soul, urban contemporary"
People Are Crazy,Billy Currington,2009,"contemporary country, country, country road"
Whatever It Is,Zac Brown Band,2009,"contemporary country, country, country road, modern country rock"
Already Gone,Kelly Clarkson,2009,"dance pop, pop, talent show"
Goodbye,Kristinia DeBarge,2009,deep dance pop
Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009,reggae fusion
Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,2009,"gangster rap, harlem hip hop, pop rap, trap"
Pretty Wings,Maxwell,2009,"neo soul, quiet storm, r&b, urban contemporary"
Never Say Never,The Fray,2009,"neo mellow, piano rock, pop, pop rock"
TiK ToK,Ke$ha,2010,"dance pop, electropop, pop"
Need You Now,Lady Antebellum,2010,"contemporary country, country, country dawn, country pop, country road"
"Hey, Soul Sister",Train,2010,"dance pop, neo mellow, pop, pop rock"
California Gurls,Katy Perry Featuring Snoop Dogg,2010,pop
OMG,Usher Featuring will.i.am,2010,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Airplanes,B.o.B Featuring Hayley Williams,2010,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
Love The Way You Lie,Eminem Featuring Rihanna,2010,"detroit hip hop, hip hop, rap"
Bad Romance,Lady Gaga,2010,"art pop, dance pop, pop"
Dynamite,Taio Cruz,2010,"dance pop, pop, pop rap"
Break Your Heart,Taio Cruz Featuring Ludacris,2010,"dance pop, pop, pop rap"
Nothin' On You,B.o.B Featuring Bruno Mars,2010,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
I Like It,Enrique Iglesias Featuring Pitbull,2010,"dance pop, latin pop, mexican pop"
BedRock,Young Money Featuring Lloyd,2010,"dirty south rap, pop rap, rap, southern hip hop, trap"
In My Head,Jason Derulo,2010,"dance pop, pop"
Rude Boy,Rihanna,2010,"barbadian pop, pop, urban contemporary"
Telephone,Lady Gaga Featuring Beyonce,2010,"art pop, dance pop, pop"
Teenage Dream,Katy Perry,2010,pop
Just The Way You Are,Bruno Mars,2010,"dance pop, pop"
Cooler Than Me,Mike Posner,2010,"dance pop, pop, pop dance, pop rap"
Imma Be,The Black Eyed Peas,2010,"pop, hip hop, rap"
Empire State Of Mind,Jay-Z + Alicia Keys,2010,"pop rap, east coast hip hop"
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Billionaire,Travie McCoy Featuring Bruno Mars,2010,pop rap
Not Afraid,Eminem,2010,"detroit hip hop, hip hop, rap"
Replay,Iyaz,2010,"dance pop, pop rap, post-teen pop"
Sexy Chick,David Guetta Featuring Akon,2010,"big room, dance pop, edm, pop, pop dance"
Breakeven,The Script,2010,"celtic rock, pop"
Your Love Is My Drug,Ke$ha,2010,"electropop, dance pop"
I Gotta Feeling,The Black Eyed Peas,2010,"hip hop, dance pop, electropop"
Fireflies,Owl City,2010,"indietronica, pop"
Say Aah,Trey Songz Featuring Fabolous,2010,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Find Your Love,Drake,2010,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Alejandro,Lady Gaga,2010,"art pop, dance pop, pop"
Ridin' Solo,Jason Derulo,2010,"dance pop, pop"
Just A Dream,Nelly,2010,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
How Low,Ludacris,2010,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
Like A G6,Far*East Movement Featuring Cataracs & Dev,2010,"asian american hip hop, dance pop, pop rap"
Carry Out,Timbaland Featuring Justin Timberlake,2010,"dance pop, pop, pop rap"
Haven't Met You Yet,Michael Buble,2010,pop rock
Club Can't Handle Me,Flo Rida Featuring David Guetta,2010,"dance pop, miami hip hop, pop, pop rap"
Down,Jay Sean Featuring Lil Wayne,2010,"dance pop, pop, pop rap"
Bulletproof,La Roux,2010,"alternative dance, electropop, neo-synthpop"
Whatcha Say,Jason Derulo,2010,"dance pop, pop"
Baby,Justin Bieber Featuring Ludacris,2010,"canadian pop, pop"
Whataya Want From Me,Adam Lambert,2010,"dance pop, idol, pop, post-teen pop"
Mine,Taylor Swift,2010,pop
Only Girl (In The World),Rihanna,2010,"barbadian pop, pop, urban contemporary"
Live Like We're Dying,Kris Allen,2010,"acoustic pop, idol, neo mellow, viral pop"
Hard,Rihanna Featuring Jeezy,2010,"barbadian pop, pop, urban contemporary"
Young Forever,Jay-Z + Mr. Hudson,2010,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Blah Blah Blah,Ke$ha Featuring 3OH!3,2010,"electropop, dance pop"
Bottoms Up,Trey Songz Featuring Nicki Minaj,2010,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010,"dance pop, pop, pop rap"
All The Right Moves,OneRepublic,2010,"piano rock, pop"
According To You,Orianthi,2010,candy pop
My Chick Bad,Ludacris Featuring Nicki Minaj,2010,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
You Belong With Me,Taylor Swift,2010,pop
Meet Me Halfway,The Black Eyed Peas,2010,"dance pop, pop rap"
Take It Off,Ke$ha,2010,"electro, dance pop, edm"
Over,Drake,2010,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Animal,Neon Trees,2010,"modern rock, neo mellow, pop rock, pov: indie"
Misery,Maroon 5,2010,pop
Magic,B.o.B Featuring Rivers Cuomo,2010,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
Paparazzi,Lady Gaga,2010,"art pop, dance pop, pop"
Tie Me Down,New Boyz Featuring Ray J,2010,pop rap
Your Love,Nicki Minaj,2010,"hip pop, pop, queens hip hop, rap"
Party In The U.S.A.,Miley Cyrus,2010,pop
Deuces,Chris Brown Featuring Tyga & Kevin McCall,2010,"pop rap, r&b, rap"
3,Britney Spears,2010,"dance pop, pop"
Impossible,Shontelle,2010,"barbadian pop, dance pop, post-teen pop"
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2010,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,"neon pop punk, pop punk"
My First Kiss,3OH!3 Featuring Ke$ha,2010,"dance pop, electropowerpop, pop punk, pop rap, post-teen pop"
Already Gone,Kelly Clarkson,2010,"dance pop, pop, talent show"
Rock That Body,The Black Eyed Peas,2010,"house, pop, hip hop"
Secrets,OneRepublic,2010,"piano rock, pop"
Naturally,Selena Gomez & The Scene,2010,pop
Un-Thinkable (I'm Ready),Alicia Keys,2010,"neo soul, pop, r&b"
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010,"hip hop, miami hip hop, pop rap, rap"
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010,"pop rap, wrestling"
Stuck Like Glue,Sugarland,2010,"contemporary country, country, country dawn, country road"
Hey Daddy (Daddy's Home),Usher Featuring Plies,2010,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
There Goes My Baby,Usher,2010,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Today Was A Fairytale,Taylor Swift,2010,pop
Say Something,Timbaland Featuring Drake,2010,"dance pop, pop, pop rap"
Sweet Dreams,Beyonce,2010,"pop, r&b"
Use Somebody,Kings Of Leon,2010,"modern rock, rock"
Undo It,Carrie Underwood,2010,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop"
Eenie Meenie,Sean Kingston & Justin Bieber,2010,"dance pop, miami hip hop, pop"
Right Above It,Lil Wayne Featuring Drake,2010,"hip hop, new orleans rap, pop rap, rap, trap"
The House That Built Me,Miranda Lambert,2010,"contemporary country, country, country dawn, country road"
If I Die Young,The Band Perry,2010,"contemporary country, country, country dawn, country road"
The Only Exception,Paramore,2010,"candy pop, pixie, pop, pop emo, pop punk, rock"
American Honey,Lady Antebellum,2010,"contemporary country, country, country dawn, country pop, country road"
King Of Anything,Sara Bareilles,2010,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop"
Life After You,Daughtry,2010,"alternative metal, neo mellow, pop rock, post-grunge"
Smile,Uncle Kracker,2010,"country, pop rock, post-grunge"
Teach Me How To Dougie,Cali Swag District,2010,pop rap
Try Sleeping With A Broken Heart,Alicia Keys,2010,"neo soul, pop, r&b"
"Lover, Lover",Jerrod Niemann,2010,"contemporary country, country road"
Rolling In The Deep,Adele,2011,"british soul, pop, pop soul, uk pop"
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,"dance pop, pop, pop rap"
Firework,Katy Perry,2011,pop
E.T.,Katy Perry Featuring Kanye West,2011,pop
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,"dance pop, miami hip hop, pop"
Grenade,Bruno Mars,2011,"dance pop, pop"
Super Bass,Nicki Minaj,2011,"hip pop, pop, queens hip hop, rap"
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,pop
Just Can't Get Enough,The Black Eyed Peas,2011,"alternative hip hop, electropop, edm"
On The Floor,Jennifer Lopez Featuring Pitbull,2011,"dance pop, pop, urban contemporary"
S&M,Rihanna,2011,"barbadian pop, pop, urban contemporary"
Pumped Up Kicks,Foster The People,2011,"indietronica, modern alternative rock, modern rock, rock"
Last Friday Night (T.G.I.F.),Katy Perry,2011,pop
Just The Way You Are,Bruno Mars,2011,"dance pop, pop"
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,"dance pop, latin pop, mexican pop"
Raise Your Glass,P!nk,2011,"dance pop, pop"
Born This Way,Lady Gaga,2011,"art pop, dance pop, pop"
F**kin' Perfect,P!nk,2011,"dance pop, pop"
What's My Name?,Rihanna Featuring Drake,2011,"barbadian pop, pop, urban contemporary"
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,"pop rap, r&b, rap"
Down On Me,Jeremih Featuring 50 Cent,2011,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary"
How To Love,Lil Wayne,2011,"hip hop, new orleans rap, pop rap, rap, trap"
Someone Like You,Adele,2011,"british soul, pop, pop soul, uk pop"
Good Life,OneRepublic,2011,"piano rock, pop"
The Lazy Song,Bruno Mars,2011,"dance pop, pop"
Till The World Ends,Britney Spears,2011,"dance pop, pop"
The Show Goes On,Lupe Fiasco,2011,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop"
The Edge Of Glory,Lady Gaga,2011,"art pop, dance pop, pop"
We R Who We R,Ke$ha,2011,"dance pop, pop"
Black And Yellow,Wiz Khalifa,2011,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Tonight Tonight,Hot Chelle Rae,2011,"dance rock, neon pop punk, post-teen pop"
Blow,Ke$ha,2011,"electropop, dance pop"
Lighters,Bad Meets Evil Featuring Bruno Mars,2011,detroit hip hop
If I Die Young,The Band Perry,2011,"contemporary country, country, country dawn, country road"
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,"dance pop, pop rap"
The Time (Dirty Bit),The Black Eyed Peas,2011,"electronic, pop, hip hop"
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,pop rap
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,"dance pop, miami hip hop, pop"
Only Girl (In The World),Rihanna,2011,"barbadian pop, pop, urban contemporary"
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,"hip hop, new orleans rap, pop rap, rap, trap"
Just A Kiss,Lady Antebellum,2011,"contemporary country, country, country dawn, country pop, country road"
Dirt Road Anthem,Jason Aldean,2011,"contemporary country, country, country road, modern country rock"
Dynamite,Taio Cruz,2011,"dance pop, pop, pop rap"
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap"
I Wanna Go,Britney Spears,2011,"dance pop, pop"
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,"trap, hip hop, pop rap, southern hip hop"
You Make Me Feel...,Cobra Starship Featuring Sabi,2011,"neon pop punk, pop punk, post-teen pop"
Yeah 3X,Chris Brown,2011,"pop rap, r&b, rap"
Moment 4 Life,Nicki Minaj Featuring Drake,2011,"hip pop, pop, queens hip hop, rap"
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,"g funk, gangster rap, hip hop, rap, west coast rap"
Just A Dream,Nelly,2011,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Motivation,Kelly Rowland Featuring Lil Wayne,2011,"atl hip hop, dance pop, hip pop, r&b, urban contemporary"
Stereo Love,Edward Maya & Vika Jigulina,2011,"romanian house, romanian pop"
Jar Of Hearts,Christina Perri,2011,pop
Roll Up,Wiz Khalifa,2011,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Sexy And I Know It,LMFAO,2011,"dance pop, pop, pop rap"
Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,"asian american hip hop, dance pop, pop rap"
All Of The Lights,Kanye West,2011,"chicago rap, hip hop, rap"
Hold It Against Me,Britney Spears,2011,"dance pop, pop"
More,Usher,2011,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
What The Hell,Avril Lavigne,2011,"canadian pop, candy pop, pop"
Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,"dance pop, grime, pop rap"
Bottoms Up,Trey Songz Featuring Nicki Minaj,2011,"dance pop, r&b, southern hip hop, trap, urban contemporary"
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
For The First Time,The Script,2011,"celtic rock, pop"
Honey Bee,Blake Shelton,2011,"classic oklahoma country, contemporary country, country, country road"
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011,country pop
We Found Love,Rihanna Featuring Calvin Harris,2011,"barbadian pop, pop, urban contemporary"
Pretty Girl Rock,Keri Hilson,2011,"dance pop, hip pop, r&b, urban contemporary"
You And I,Lady Gaga,2011,"art pop, dance pop, pop"
Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,"asian american hip hop, dance pop, pop rap"
Without You,David Guetta Featuring Usher,2011,"big room, dance pop, edm, pop, pop dance"
Back To December,Taylor Swift,2011,pop
Teenage Dream,Katy Perry,2011,pop
Crazy Girl,Eli Young Band,2011,"classic texas country, contemporary country, country, country road, heartland rock"
Cheers (Drink To That),Rihanna,2011,"barbadian pop, pop, urban contemporary"
Who Says,Selena Gomez & The Scene,2011,pop
Barefoot Blue Jean Night,Jake Owen,2011,"contemporary country, country, country road"
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011,"contemporary country, country, country road, modern country rock"
Country Girl (Shake It For Me),Luke Bryan,2011,"contemporary country, country, country road"
Remind Me,Brad Paisley Duet With Carrie Underwood,2011,contemporary country
In The Dark,Dev,2011,"romanian pop, electropop, house, dance pop"
Backseat,New Boyz Featuring The Cataracs & Dev,2011,pop rap
Headlines,Drake,2011,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Best Thing I Never Had,Beyonce,2011,"pop, r&b"
Don't Wanna Go Home,Jason Derulo,2011,"electropop, dance pop, edm"
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011,"big room, dance pop, edm, pop, pop dance"
She Ain't You,Chris Brown,2011,"pop rap, r&b, rap"
Take A Back Road,Rodney Atkins,2011,"contemporary country, country, country road"
Please Don't Go,Mike Posner,2011,"dance pop, pop, pop dance, pop rap"
Sure Thing,Miguel,2011,r&b
Price Tag,Jessie J Featuring B.o.B,2011,"dance pop, pop"
God Gave Me You,Blake Shelton,2011,"classic oklahoma country, contemporary country, country, country road"
She Will,Lil Wayne Featuring Drake,2011,"hip hop, new orleans rap, pop rap, rap, trap"
Are You Gonna Kiss Me Or Not,Thompson Square,2011,"contemporary country, country, country dawn, country road"
Animal,Neon Trees,2011,"modern rock, neo mellow, pop rock, pov: indie"
You And Tequila,Kenny Chesney Featuring Grace Potter,2011,"contemporary country, country, country road"
Colder Weather,Zac Brown Band,2011,"contemporary country, country, country road, modern country rock"
My Last,Big Sean Featuring Chris Brown,2011,"detroit hip hop, hip hop, pop rap, r&b, rap, trap"
Somebody That I Used To Know,Gotye Featuring Kimbra,2012,australian pop
Call Me Maybe,Carly Rae Jepsen,2012,"canadian pop, dance pop, pop"
We Are Young,fun. Featuring Janelle Monae,2012,"baroque pop, metropopolis"
Payphone,Maroon 5 Featuring Wiz Khalifa,2012,pop
Lights,Ellie Goulding,2012,"indietronica, metropopolis, pop, uk pop"
Glad You Came,The Wanted,2012,"boy band, dance pop, pop, post-teen pop"
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,"dance pop, pop, talent show"
We Found Love,Rihanna Featuring Calvin Harris,2012,"barbadian pop, pop, urban contemporary"
Starships,Nicki Minaj,2012,"hip pop, pop, queens hip hop, rap"
What Makes You Beautiful,One Direction,2012,"boy band, pop, post-teen pop, talent show"
Wild Ones,Flo Rida Featuring Sia,2012,"dance pop, miami hip hop, pop, pop rap"
Set Fire To The Rain,Adele,2012,"british soul, pop, pop soul, uk pop"
Sexy And I Know It,LMFAO,2012,"dance pop, pop, pop rap"
Some Nights,fun.,2012,"baroque pop, metropopolis"
Wide Awake,Katy Perry,2012,pop
Good Feeling,Flo Rida,2012,"dance pop, miami hip hop, pop, pop rap"
Whistle,Flo Rida,2012,"dance pop, miami hip hop, pop, pop rap"
One More Night,Maroon 5,2012,pop
Drive By,Train,2012,"dance pop, neo mellow, pop, pop rock"
The Motto,Drake Featuring Lil Wayne,2012,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Where Have You Been,Rihanna,2012,"barbadian pop, pop, urban contemporary"
Everybody Talks,Neon Trees,2012,"modern rock, neo mellow, pop rock, pov: indie"
Take Care,Drake Featuring Rihanna,2012,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Titanium,David Guetta Featuring Sia,2012,"big room, dance pop, edm, pop, pop dance"
I Won't Give Up,Jason Mraz,2012,"acoustic pop, dance pop, neo mellow, pop"
It Will Rain,Bruno Mars,2012,"dance pop, pop"
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,"chicago rap, hip hop, rap"
Boyfriend,Justin Bieber,2012,"canadian pop, pop"
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,"dance pop, pop, pop rap"
Too Close,Alex Clare,2012,modern alternative rock
Part Of Me,Katy Perry,2012,pop
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
We Are Never Ever Getting Back Together,Taylor Swift,2012,pop
As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,"canadian pop, pop"
Turn Me On,David Guetta Featuring Nicki Minaj,2012,"big room, dance pop, edm, pop, pop dance"
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,pop
Blow Me (One Last Kiss),P!nk,2012,"dance pop, pop"
Good Time,Owl City & Carly Rae Jepsen,2012,"indietronica, pop"
Give Your Heart A Break,Demi Lovato,2012,"pop, post-teen pop"
Ni**as in Paris,Jay Z Kanye West,2012,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
The One That Got Away,Katy Perry,2012,pop
Feel So Close,Calvin Harris,2012,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Someone Like You,Adele,2012,"british soul, pop, pop soul, uk pop"
Scream,Usher,2012,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
Rack City,Tyga,2012,"hip hop, pop rap, rap, trap"
Domino,Jessie J,2012,"dance pop, pop"
Gangnam Style,PSY,2012,"k-rap, korean old school hip hop"
International Love,Pitbull Featuring Chris Brown,2012,"dance pop, miami hip hop, pop"
Home,Phillip Phillips,2012,"folk-pop, neo mellow, pop rock"
Without You,David Guetta Featuring Usher,2012,"big room, dance pop, edm, pop, pop dance"
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,"dance pop, pop rap"
Wanted,Hunter Hayes,2012,"contemporary country, country, country road, modern country rock"
Drunk On You,Luke Bryan,2012,"contemporary country, country, country road"
No Lie,2 Chainz Featuring Drake,2012,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
Want U Back,Cher Lloyd,2012,"dance pop, pop, post-teen pop, talent show"
Don't Wake Me Up,Chris Brown,2012,"edm, dance pop"
Dance (A$$),Big Sean Featuring Nicki Minaj,2012,"detroit hip hop, hip hop, pop rap, r&b, rap, trap"
Springsteen,Eric Church,2012,"contemporary country, country, country road"
Brokenhearted,Karmin,2012,"post-teen pop, viral pop"
Not Over You,Gavin DeGraw,2012,"neo mellow, pop rock"
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,"dance pop, pop rap"
Back In Time,Pitbull,2012,"dance pop, miami hip hop, pop"
Work Out,J. Cole,2012,"conscious hip hop, hip hop, north carolina hip hop, rap"
Rumour Has It,Adele,2012,"british soul, pop, pop soul, uk pop"
Let's Go,Calvin Harris Featuring Ne-Yo,2012,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Good Girl,Carrie Underwood,2012,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop"
Pontoon,Little Big Town,2012,"contemporary country, country, country dawn, country road"
Ho Hey,The Lumineers,2012,"folk-pop, modern rock, stomp and holler"
Paradise,Coldplay,2012,"permanent wave, pop"
Blown Away,Carrie Underwood,2012,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop"
Rolling In The Deep,Adele,2012,"british soul, pop, pop soul, uk pop"
Climax,Usher,2012,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
"Work Hard, Play Hard",Wiz Khalifa,2012,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,"dance pop, pop, r&b, urban contemporary"
Pound The Alarm,Nicki Minaj,2012,"hip pop, pop, queens hip hop, rap"
Come Over,Kenny Chesney,2012,"contemporary country, country, country road"
Heart Attack,Trey Songz,2012,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Drank In My Cup,Kirko Bangz,2012,"dirty south rap, southern hip hop, trap"
Birthday Cake,Rihanna Featuring Chris Brown,2012,"barbadian pop, pop, urban contemporary"
So Good,B.o.B,2012,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
50 Ways To Say Goodbye,Train,2012,"dance pop, neo mellow, pop, pop rock"
Red Solo Cup,Toby Keith,2012,"classic oklahoma country, contemporary country, country, country road"
Love You Like A Love Song,Selena Gomez & The Scene,2012,pop
Turn Up The Music,Chris Brown,2012,"pop rap, r&b, rap"
Die Young,Ke$ha,2012,"electropop, dance pop, pop"
